DATE;URL;NOM;ALIAS;NB_ABO
2022-09-01;https://twitter.com/Casden_BP;GROUPE BPCE - CASDEN;;
2022-09-01;https://twitter.com/BPMed;BANQUE POPULAIRE - Méditerranée (MED);;
2022-09-01;https://twitter.com/BP_ACA;BANQUE POPULAIRE - Aquitaine Centre Atlantique;;
2022-09-01;https://twitter.com/CaissepargneLR;CAISSE D EPARGNE - Languedoc-Roussillon;;
2022-09-06;https://twitter.com/VoileBanquePop;BANQUE POPULAIRE - Voile Banque Populaire;@VoileBanquePop;36700
2022-09-06;https://twitter.com/CEBFC_endirect;CAISSE D EPARGNE - Bourgogne Franche-Comté;@CEBFC_endirect;
2022-09-06;https://twitter.com/CaissEpargneAL;CAISSE D EPARGNE - d'Auvergne et du Limousin;@CaissEpargneAL;1470
2022-09-06;https://twitter.com/BP_ACA;BANQUE POPULAIRE - Aquitaine Centre Atlantique;@BP_ACA;
2022-09-06;https://twitter.com/CaissEpargneSAV;CAISSE D EPARGNE - National SAV;@CaissEpargneSAV;3117
2022-09-07;https://twitter.com/BP_RivesParis;BANQUE POPULAIRE - Rives de Paris;@BP_RivesParis;4938
2022-09-07;https://twitter.com/CEBFC_endirect;CAISSE D EPARGNE - Bourgogne Franche-Comté;@CEBFC_endirect;
2022-09-07;https://twitter.com/89C3;GROUPE BPCE - 89C3;@89C3;
2022-09-07;https://twitter.com/banquepalatine;GROUPE BPCE - Banque Palatine;@BanquePalatine;2728
2022-09-07;https://twitter.com/TeamCE;CAISSE D EPARGNE - Team Caisse d'Epargne;@TeamCE;582
2022-09-07;https://twitter.com/credit_coop_;GROUPE BPCE - Crédit Coopératif;@credit_coop_;10700
2022-09-07;https://twitter.com/CaissepargneLR;CAISSE D EPARGNE - Languedoc-Roussillon;@CaissepargneLR;2767
2022-09-07;https://twitter.com/Caisse_Epargne;CAISSE D EPARGNE - National;@Caisse_Epargne;31800
2022-09-07;https://twitter.com/groupeBPCE;GROUPE BPCE - Corporate;@GroupeBPCE;22600
